Date,TSLA Open,TSLA High,TSLA Low,TSLA Close,TSLA Volume,TSLA VWAP,Market Bullish Sentiment,Market Neutral Sentiment,Market Bearish Sentiment,SPY Open,SPY High,SPY Low,SPY Close,SPY Volume,SPY VWAP,AMZN Open,AMZN High,AMZN Low,AMZN Close,AMZN Volume,AMZN VWAP
3/18/2015,38.992001,40.175999,38.622002,40.141998,24104500,40.141998,0.316,0.43,0.254,207.389999,211.270004,206.619995,210.460007,228808500,210.460007,369.970001,375.98999,366.700012,375.140015,2654100,375.140015
3/19/2015,40.400002,40.917999,38.905998,39.130001,42376000,39.130001,0.272,0.414,0.315,209.960007,210.470001,209.029999,209.5,117917300,209.5,373.869995,377.109985,372.190002,373.23999,1915700,373.23999
3/20/2015,39.490002,39.798,39.124001,39.616001,21347500,39.616001,0.272,0.414,0.315,209.710007,211.020004,209.490005,210.410004,177715100,210.410004,376.290009,379.369995,375.920013,378.48999,3763600,378.48999
3/23/2015,39.700001,40.099998,39.493999,39.925999,13158000,39.925999,0.272,0.414,0.315,210.419998,211.110001,210,210,71784500,210,378.070007,381.769989,374.940002,375.109985,2239300,375.109985
3/24/2015,40.316002,40.757999,39.950001,40.344002,18249500,40.344002,0.272,0.414,0.315,209.850006,210.399994,208.740005,208.820007,77805300,208.820007,373.98999,375.23999,372.269989,374.089996,2228200,374.089996
3/25/2015,39.653999,39.717999,38.540001,38.860001,28652000,38.860001,0.272,0.414,0.315,209.070007,209.350006,205.710007,205.759995,159521700,205.759995,375.170013,380.5,370.290009,370.959991,3429500,370.959991
3/26/2015,38.784,38.958,37.939999,38.082001,20640000,38.082001,0.384,0.372,0.244,204.960007,206.369995,204.119995,205.270004,153067200,205.270004,369.589996,371.399994,365.649994,367.350006,2930000,367.350006
3/27/2015,37.813999,37.858002,36.279999,37,43024500,37,0.384,0.372,0.244,205.130005,205.949997,204.899994,205.740005,118939000,205.740005,367.109985,373.170013,366.570007,370.559998,2609800,370.559998
3/30/2015,37.169998,38.450001,36.360001,38.113998,50447500,38.113998,0.384,0.372,0.244,206.979996,208.610001,206.960007,208.25,96180400,208.25,371.869995,376.119995,371.549988,374.589996,1820900,374.589996
3/31/2015,38.706001,38.751999,37.681999,37.754002,25133000,37.754002,0.384,0.372,0.244,207.259995,208.100006,206.360001,206.429993,126768700,206.429993,373.23999,377.700012,371.51001,372.100006,2506100,372.100006
4/1/2015,37.740002,38.459999,37.209999,37.518002,18973000,37.518002,0.384,0.372,0.244,206.389999,206.419998,204.509995,205.699997,137303600,205.699997,372.100006,373.160004,368.339996,370.26001,2458100,370.26001
4/2/2015,38.046001,38.646,38,38.200001,25052000,38.200001,0.354,0.326,0.32,205.619995,206.979996,205.399994,206.440002,86900900,206.440002,370.5,373.279999,369,372.25,1875300,372.25
4/6/2015,39.599998,41.549999,39.5,40.619999,62279000,40.619999,0.354,0.326,0.32,205.369995,208.449997,205.210007,207.830002,114368200,207.830002,370.100006,380.200012,369.359985,377.040009,3050700,377.040009
4/7/2015,40.501999,41.012001,40.228001,40.650002,21739500,40.650002,0.354,0.326,0.32,207.860001,208.759995,207.240005,207.279999,81236300,207.279999,376.149994,379.309998,374.029999,374.410004,1954900,374.410004
4/8/2015,41.639999,42.18,41.174,41.534,31515500,41.534,0.354,0.326,0.32,207.550003,208.509995,207.080002,207.979996,89351900,207.979996,374.660004,381.579987,374.649994,381.200012,2636400,381.200012
